"REF_DATE","GEO","DGUID","Statistical Area Classification (SAC)","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","New Brunswick","2021A000213","Within CMAs","Total private dwellings, 2021","","0","units","0","","5.2.2","178493","","","","0"
"2021","New Brunswick","2021A000213","Within CMAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.2.3","169401","","","","0"
"2021","New Brunswick","2021A000213","Within CAs","Population, 2021","","0","units","0","","5.3.1","93110","","","","0"
"2021","New Brunswick","2021A000213","Within CAs","Total private dwellings, 2021","","0","units","0","","5.3.2","45582","","","","0"
"2021","New Brunswick","2021A000213","Within CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.3.3","42452","","","","0"
"2021","New Brunswick","2021A000213","Within tracted CAs","Population, 2021","","0","units","0","","5.4.1","0","","","","0"
"2021","New Brunswick","2021A000213","Within tracted CAs","Total private dwellings, 2021","","0","units","0","","5.4.2","0","","","","0"
"2021","New Brunswick","2021A000213","Within tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.4.3","0","","","","0"
"2021","New Brunswick","2021A000213","Within non-tracted CAs","Population, 2021","","0","units","0","","5.5.1","93110","","","","0"
"2021","New Brunswick","2021A000213","Within non-tracted CAs","Total private dwellings, 2021","","0","units","0","","5.5.2","45582","","","","0"
"2021","New Brunswick","2021A000213","Within non-tracted CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.5.3","42452","","","","0"
"2021","New Brunswick","2021A000213","Outside CMAs/CAs","Population, 2021","","0","units","0","","5.6.1","285560","","","","0"
"2021","New Brunswick","2021A000213","Outside CMAs/CAs","Total private dwellings, 2021","","0","units","0","","5.6.2","142071","","","","0"
"2021","New Brunswick","2021A000213","Outside CMAs/CAs","Private dwellings occupied by usual residents, 2021","","0","units","0","","5.6.3","125798","","","","0"
"2021","New Brunswick","2021A000213","Strongly influenced","Population, 2021","","0","units","0","","5.7.1","61119","","","","0"
"2021","New Brunswick","2021A000213","Strongly influenced","Total private dwellings, 2021","","0","units","0","","5.7.2","30802","","","","0"
